trial_id,km,ambiente_seca,ambiente_umida,ct,fc,ibutg,interna,interna_pele,pacing,pele,pse,st,tpeito,umidade_absoluta,umidade_relativa,velocidade,vento
4,2,33.20,29.00,1.00,150.00,30.26,37.17,3.14,6.83,34.03,10.00,4.00,35.00,0.03,74.00,8.79,0.00
4,3,33.10,28.75,1.00,152.00,30.06,37.44,3.71,6.45,33.73,10.00,5.00,35.20,0.03,72.50,9.30,0.00
4,4,33.00,28.50,2.00,165.00,29.85,37.84,3.58,6.25,34.26,11.00,5.00,34.20,0.03,71.00,9.60,0.00
4,5,33.05,28.75,3.00,168.00,30.04,38.04,3.79,6.00,34.25,12.00,5.00,32.80,0.03,72.50,9.99,0.00
4,6,33.10,29.00,3.00,163.00,30.23,38.40,4.29,5.99,34.11,13.00,5.00,35.20,0.03,74.00,10.02,0.00
4,7,33.20,29.00,3.00,168.00,30.26,38.68,4.44,5.91,34.24,15.00,5.00,34.80,0.03,74.00,10.16,0.00
4,8,33.30,29.00,3.00,167.00,30.29,39.05,4.64,5.88,34.41,15.00,5.00,33.60,0.03,74.00,10.20,0.00
4,9,33.15,29.00,4.00,163.00,30.25,39.33,4.51,6.04,34.82,17.00,5.00,35.40,0.03,74.00,9.93,0.00
4,10,33.00,29.00,4.00,169.00,30.20,39.65,4.97,6.20,34.68,19.00,6.00,36.40,0.03,74.00,9.67,0.00
5,1,33.00,28.55,1.00,143.00,29.89,37.15,4.24,6.63,32.91,7.00,4.00,34.60,0.03,71.00,9.05,0.00
5,2,33.00,28.70,1.00,140.00,29.99,37.60,5.06,6.31,32.54,7.00,4.00,35.00,0.03,71.00,9.51,0.00
5,3,33.00,28.65,1.00,146.00,29.96,37.82,5.06,5.96,32.76,9.00,5.00,35.00,0.03,71.00,10.07,0.00
5,4,33.00,28.60,2.00,146.00,29.92,37.98,5.49,5.79,32.49,9.00,5.00,35.20,0.03,71.00,10.37,0.00
5,5,32.95,28.55,1.00,155.00,29.87,38.29,5.26,5.64,33.03,9.00,4.00,32.80,0.03,71.00,10.63,0.00
5,6,32.90,28.50,2.00,156.00,29.82,38.75,5.76,5.53,32.99,13.00,6.00,35.80,0.03,71.00,10.85,0.00
5,7,32.90,28.50,1.00,168.00,29.82,39.06,6.01,5.44,33.05,13.00,6.00,35.40,0.03,71.00,11.03,0.00
5,8,32.90,28.50,3.00,171.00,29.82,39.44,7.02,5.28,32.42,11.00,6.00,33.80,0.03,71.00,11.36,0.00
5,9,32.95,28.50,3.00,180.00,29.84,39.76,6.96,5.20,32.80,11.00,6.00,35.20,0.03,71.00,11.55,0.00
5,10,33.00,28.50,2.00,186.00,29.85,40.06,7.14,5.13,32.92,11.00,5.00,36.20,0.03,71.00,11.69,0.00
6,1,32.90,28.50,2.00,139.00,29.82,36.71,2.66,7.25,34.05,7.00,5.00,35.20,0.03,69.50,8.28,0.00
6,2,32.80,29.00,2.00,144.00,30.14,37.09,1.40,6.95,35.69,9.00,5.00,36.00,0.03,71.00,8.63,0.00
6,3,32.85,28.75,2.00,156.00,29.98,37.50,2.29,6.69,35.21,11.00,5.00,34.40,0.03,71.00,8.97,0.00
6,4,32.90,28.50,2.00,159.00,29.82,37.83,2.74,6.41,35.09,12.00,5.00,34.60,0.03,71.00,9.36,0.00
6,5,32.95,28.50,2.00,161.00,29.84,38.13,2.41,6.20,35.72,12.00,5.00,33.20,0.03,71.00,9.68,0.00
6,6,33.00,28.50,3.00,167.00,29.85,38.46,2.65,6.01,35.81,13.00,6.00,36.00,0.03,71.00,9.99,0.00
6,7,32.95,28.35,3.00,173.00,29.73,38.78,2.67,5.89,36.11,16.00,6.00,35.80,0.03,69.50,10.18,0.00
6,8,32.90,28.20,3.00,174.00,29.61,39.08,2.56,5.80,36.52,16.00,6.00,34.20,0.02,68.00,10.34,0.00
6,9,32.95,28.35,3.00,184.00,29.73,39.45,2.81,5.70,36.64,17.00,6.00,35.20,0.03,69.50,10.52,0.00
6,10,33.00,28.50,4.00,199.00,29.85,39.70,3.06,5.55,36.64,19.00,6.00,36.20,0.03,71.00,10.82,0.00
7,1,33.10,28.85,1.00,168.00,30.13,37.03,3.10,4.50,33.93,7.00,4.00,35.60,0.03,72.50,13.33,0.00
7,2,33.20,28.90,1.00,179.00,30.19,37.18,2.36,4.43,34.82,9.00,4.00,36.00,0.03,74.00,13.56,0.00
